,keyword,score
0,java,0.5060721543419352
1,methods,0.24732495317386954
2,applet,0.24178577263475945
3,classes,0.21980037796910845
4,object,0.19063637137020745
5,programming,0.1632425292517245
6,ints,0.153712442438505
7,code,0.13825559362183557
8,strings,0.1335669490235676
9,basic,0.12195641570066156
10,button,0.1189603483736788
11,new,0.11483986602118555
12,arrays,0.10851490767551446
13,data,0.10661206509923603
14,public,0.09856655696481281
15,allocated,0.08192407238783142
16,constants,0.07910475663448725
17,files,0.07899156857440562
18,browser,0.07844280630528092
19,memory,0.07822839232336523
20,follows,0.07640022570470095
21,operators,0.07154070344335972
22,basicsjava,0.07090539142604765
23,garbage,0.06526152170869953
24,referred,0.0643679317274379
25,commenting,0.061498697896333956
26,void,0.06100021654367207
27,reserve,0.060924614835474226
28,expr,0.05915312221484957
29,application,0.05902323542958485
30,contained,0.05797351657616385
31,args,0.05765646408436484
32,types,0.056652337034822656
33,variables,0.0561586518497019
34,main,0.05579152418061356
35,compilation,0.05170047686606793
36,bit,0.05165904369798496
37,dynamically,0.05138943337070401
38,null,0.05088395534156135
39,width,0.050687581969100844
40,stacks,0.050625236118043614
41,simple,0.049859188076761485
42,useful,0.049073053589138764
43,stats,0.04858662746591524
44,example,0.04835201414568423
45,definitions,0.048230224077791525
46,line,0.04797372549656185
47,intentionally left,0.047829007492035294
48,note,0.04767449138292961
49,primitive,0.04756702067679067
50,created,0.04611928552070403
51,parameter,0.04601367767011183
52,literal,0.04578154120455146
53,exception,0.0455887470147156
54,final,0.045179234902620886
55,automatic,0.04515830019288188
56,define,0.04470617086790787
57,return,0.0443653444267071
58,boolean,0.04340166314860819
59,thread,0.04335970898794019
60,gui inthis,0.042058844409988715
61,including,0.041986046204713905
62,environment,0.040613692775983395
63,address,0.04047250214633152
64,literaltrue,0.040432264771748806
65,comparison,0.04043226477174866
66,stop,0.040323379347559314
67,instantiated,0.04014011366283902
68,platform,0.039930620911312
69,predefined,0.03955171804181535
70,window,0.03947882642385246
71,integer,0.039186904774506474
72,specific,0.03906381100148064
73,statement,0.03885550884734268
74,byte,0.038613725102575894
75,shows,0.03853503929364893
76,trivialapplication,0.038306432355503954
77,hello,0.03729761858182128
78,element,0.037192573769617605
79,collection,0.037014580228908106
80,assignments,0.036364782005465196
81,calling,0.0362170732162489
82,typename,0.035692557282682474
83,instance,0.03533284075283984
84,values,0.035331843181859474
85,push,0.03505480683135094
86,effects,0.03459961533790737
87,html,0.034316921216280515
88,align,0.03405982523747677
89,alt,0.034059825237476755
90,clone,0.033829098027402395
91,runtime,0.033760856987597954
92,unlike,0.033390197203479924
93,draw,0.03325178664989059
94,arithmetic,0.033150895749240294
95,archives,0.033122616432668464
96,source,0.03311158861396438
97,interpreter,0.03291757815923261
98,tothe,0.03218827059062209
99,looks,0.03176717363467073
100,length,0.03168327814920565
101,superclass,0.03118533484872851
102,namelistqualified,0.030940425215995708
103,declaration,0.030809203286239262
104,equivalent,0.030710234049354544
